location,meal_section,category,item_name,labels,serving_size,ingredients,nutrients
Bella Union,All Meals,Espresso Drinks,Americano Decaffeinated,Vegan|Vegetarian,20 oz,"Water Tap, Decaffeinated Espresso Shot (zz Cafe Coffee Espresso Decaffeinated, Water Tap)","[{""label"": ""Total Fat"", ""amount"": ""0g"", ""daily_value"": ""0%""}, {""label"": ""Saturated Fat"", ""amount"": ""0g"", ""daily_value"": ""0%""}, {""label"": ""FatTrans"", ""amount"": ""0g"", ""daily_value"": """"}, {""label"": ""Cholesterol"", ""amount"": ""0mg"", ""daily_value"": ""0%""}, {""label"": ""Sodium"", ""amount"": ""5mg"", ""daily_value"": ""0%""}, {""label"": ""Total Carbohydrate"", ""amount"": ""0g"", ""daily_value"": ""0%""}, {""label"": ""Dietary Fiber"", ""amount"": ""0g"", ""daily_value"": ""0%""}, {""label"": ""Total Sugars"", ""amount"": ""0g"", ""daily_value"": ""0%""}, {""label"": ""Include NA Added Sugars"", ""amount"": """", ""daily_value"": ""%""}, {""label"": ""Protein"", ""amount"": ""0g"", ""daily_value"": """"}, {""label"": ""Calcium"", ""amount"": ""0mg"", ""daily_value"": ""0%""}, {""label"": ""Iron"", ""amount"": ""0mg"", ""daily_value"": ""0%""}, {""label"": ""Potas."", ""amount"": ""60mg"", ""daily_value"": ""1%""}]"
Bella Union,All Meals,Espresso Drinks,Americano Regular,Vegan|Vegetarian,20 oz,"Water Tap, Espresso Shot (Cafe Coffee Espresso, Water Tap)","[{""label"": ""Total Fat"", ""amount"": ""0g"", ""daily_value"": ""0%""}, {""label"": ""Saturated Fat"", ""amount"": ""0g"", ""daily_value"": ""0%""}, {""label"": ""FatTrans"", ""amount"": ""0g"", ""daily_value"": """"}, {""label"": ""Cholesterol"", ""amount"": ""0mg"", ""daily_value"": ""0%""}, {""label"": ""Sodium"", ""amount"": ""5mg"", ""daily_value"": ""0%""}, {""label"": ""Total Carbohydrate"", ""amount"": ""0g"", ""daily_value"": ""0%""}, {""label"": ""Dietary Fiber"", ""amount"": ""0g"", ""daily_value"": ""0%""}, {""label"": ""Total Sugars"", ""amount"": ""0g"", ""daily_value"": ""0%""}, {""label"": ""Include NA Added Sugars"", ""amount"": """", ""daily_value"": ""%""}, {""label"": ""Protein"", ""amount"": ""0g"", ""daily_value"": """"}, {""label"": ""Calcium"", ""amount"": ""0mg"", ""daily_value"": ""0%""}, {""label"": ""Iron"", ""amount"": ""0mg"", ""daily_value"": ""0%""}, {""label"": ""Potas."", ""amount"": ""60mg"", ""daily_value"": ""1%""}]"
Bella Union,All Meals,Espresso Drinks,Cafe Au Lait Skim Milk,Milk|Vegetarian,20 oz12 oz16 oz,"Cafe Milk Skim (FAT FREE SKIM MILK WITH VITAMIN A PALMITATE AND VITAMIN D3 ADDED), Regular Coffee (Cafe Regular Coffee, Water Tap)","[{""label"": ""Total Fat"", ""amount"": ""0g"", ""daily_value"": ""0%""}, {""label"": ""Saturated Fat"", ""amount"": ""0g"", ""daily_value"": ""0%""}, {""label"": ""FatTrans"", ""amount"": ""0g"", ""daily_value"": """"}, {""label"": ""Cholesterol"", ""amount"": ""NA"", ""daily_value"": ""%""}, {""label"": ""Sodium"", ""amount"": ""240mg"", ""daily_value"": ""10%""}, {""label"": ""Total Carbohydrate"", ""amount"": ""25g"", ""daily_value"": ""8%""}, {""label"": ""Dietary Fiber"", ""amount"": ""0g"", ""daily_value"": ""0%""}, {""label"": ""Total Sugars"", ""amount"": ""23g"", ""daily_value"": ""91%""}, {""label"": ""Include NA Added Sugars"", ""amount"": """", ""daily_value"": ""%""}, {""label"": ""Protein"", ""amount"": ""17g"", ""daily_value"": """"}, {""label"": ""Calcium"", ""amount"": ""617mg"", ""daily_value"": ""60%""}, {""label"": ""Iron"", ""amount"": ""0mg"", ""daily_value"": ""0%""}, {""label"": ""Potas."", ""amount"": ""45mg"", ""daily_value"": ""1%""}]"
Bella Union,All Meals,Espresso Drinks,Cafe Au Lait Soy Milk,Soy|Vegan|Vegetarian,12 oz20 oz16 oz,"Milk Sub Soy Aseptic Shelf Stable Ultra (ORGANIC SOY BASE (WATER, WHOLE ORGANIC SOYBEANS), DRIED CANE SYRUP, NATURAL FLAVORS, TRICALCIUM PHOSPHATE, SEA SALT, CARRAGEENAN, RIBOFLAVIN (B2), VITAMIN E (D-ALPHA-TOCOPHEROL ACETATE), VITAMIN D2, VITAMIN B6 (PYRIDOXINE HCL), VITAMIN A (PALMITATE), VITAMIN B12.), Regular Coffee (Cafe Regular Coffee, Water Tap)","[{""label"": ""Total Fat"", ""amount"": ""6g"", ""daily_value"": ""9%""}, {""label"": ""Saturated Fat"", ""amount"": ""0.5g"", ""daily_value"": ""3%""}, {""label"": ""FatTrans"", ""amount"": ""0g"", ""daily_value"": """"}, {""label"": ""Cholesterol"", ""amount"": ""0mg"", ""daily_value"": ""0%""}, {""label"": ""Sodium"", ""amount"": ""180mg"", ""daily_value"": ""8%""}, {""label"": ""Total Carbohydrate"", ""amount"": ""14g"", ""daily_value"": ""5%""}, {""label"": ""Dietary Fiber"", ""amount"": ""1g"", ""daily_value"": ""4%""}, {""label"": ""Total Sugars"", ""amount"": ""9g"", ""daily_value"": ""38%""}, {""label"": ""Include NA Added Sugars"", ""amount"": """", ""daily_value"": ""%""}, {""label"": ""Protein"", ""amount"": ""12g"", ""daily_value"": """"}, {""label"": ""Calcium"", ""amount"": ""344mg"", ""daily_value"": ""35%""}, {""label"": ""Iron"", ""amount"": ""2.14mg"", ""daily_value"": ""10%""}, {""label"": ""Potas."", ""amount"": ""580mg"", ""daily_value"": ""12%""}]"
Bella Union,All Meals,Espresso Drinks,Cafe Au Lait Whole Milk,Milk|Vegetarian,20 oz12 oz16 oz,"Cafe Milk Whole (MILK, VITAMIN D3), Regular Coffee (Cafe Regular Coffee, Water Tap)","[{""label"": ""Total Fat"", ""amount"": ""17g"", ""daily_value"": ""25%""}, {""label"": ""Saturated Fat"", ""amount"": ""10g"", ""daily_value"": ""52%""}, {""label"": ""FatTrans"", ""amount"": ""0g"", ""daily_value"": """"}, {""label"": ""Cholesterol"", ""amount"": ""70mg"", ""daily_value"": ""24%""}, {""label"": ""Sodium"", ""amount"": ""260mg"", ""daily_value"": ""11%""}, {""label"": ""Total Carbohydrate"", ""amount"": ""27g"", ""daily_value"": ""9%""}, {""label"": ""Dietary Fiber"", ""amount"": ""0g"", ""daily_value"": ""0%""}, {""label"": ""Total Sugars"", ""amount"": ""25g"", ""daily_value"": ""99%""}, {""label"": ""Include NA Added Sugars"", ""amount"": """", ""daily_value"": ""%""}, {""label"": ""Protein"", ""amount"": ""17g"", ""daily_value"": """"}, {""label"": ""Calcium"", ""amount"": ""621mg"", ""daily_value"": ""60%""}, {""label"": ""Iron"", ""amount"": ""0mg"", ""daily_value"": ""0%""}, {""label"": ""Potas."", ""amount"": ""45mg"", ""daily_value"": ""1%""}]"
Bella Union,All Meals,Espresso Drinks,Cappuccino Oat Milk,Vegan|Vegetarian,20 oz16 oz12 oz,"Milk Oat Pacific (WATER, OATS, ORGANIC CANOLA OIL, CONTAINS 1% OR LESS OF: DIPOTASSIUM PHOSPHATE, SEA SALT, SODIUM CITRATE, TRICALCIUM PHOSPHATE), Espresso Shot (Cafe Coffee Espresso, Water Tap)","[{""label"": ""Total Fat"", ""amount"": ""17g"", ""daily_value"": ""26%""}, {""label"": ""Saturated Fat"", ""amount"": ""2g"", ""daily_value"": ""11%""}, {""label"": ""FatTrans"", ""amount"": ""0g"", ""daily_value"": """"}, {""label"": ""Cholesterol"", ""amount"": ""NA"", ""daily_value"": ""%""}, {""label"": ""Sodium"", ""amount"": ""350mg"", ""daily_value"": ""14%""}, {""label"": ""Total Carbohydrate"", ""amount"": ""49g"", ""daily_value"": ""16%""}, {""label"": ""Dietary Fiber"", ""amount"": ""2g"", ""daily_value"": ""8%""}, {""label"": ""Total Sugars"", ""amount"": ""6g"", ""daily_value"": ""25%""}, {""label"": ""Include 6 g Added Sugars"", ""amount"": """", ""daily_value"": ""13%""}, {""label"": ""Protein"", ""amount"": ""8g"", ""daily_value"": """"}, {""label"": ""Calcium"", ""amount"": ""148mg"", ""daily_value"": ""15%""}, {""label"": ""Iron"", ""amount"": ""1.69mg"", ""daily_value"": ""10%""}, {""label"": ""Potas."", ""amount"": ""620mg"", ""daily_value"": ""13%""}]"
Bella Union,All Meals,Espresso Drinks,Cappuccino Skim Milk,Milk|Vegetarian,16 oz20 oz12 oz,"Cafe Milk Skim (FAT FREE SKIM MILK WITH VITAMIN A PALMITATE AND VITAMIN D3 ADDED), Espresso Shot (Cafe Coffee Espresso, Water Tap)","[{""label"": ""Total Fat"", ""amount"": ""0g"", ""daily_value"": ""0%""}, {""label"": ""Saturated Fat"", ""amount"": ""0g"", ""daily_value"": ""0%""}, {""label"": ""FatTrans"", ""amount"": ""0g"", ""daily_value"": """"}, {""label"": ""Cholesterol"", ""amount"": ""NA"", ""daily_value"": ""%""}, {""label"": ""Sodium"", ""amount"": ""210mg"", ""daily_value"": ""9%""}, {""label"": ""Total Carbohydrate"", ""amount"": ""21g"", ""daily_value"": ""7%""}, {""label"": ""Dietary Fiber"", ""amount"": ""0g"", ""daily_value"": ""0%""}, {""label"": ""Total Sugars"", ""amount"": ""19g"", ""daily_value"": ""78%""}, {""label"": ""Include NA Added Sugars"", ""amount"": """", ""daily_value"": ""%""}, {""label"": ""Protein"", ""amount"": ""14g"", ""daily_value"": """"}, {""label"": ""Calcium"", ""amount"": ""532mg"", ""daily_value"": ""50%""}, {""label"": ""Iron"", ""amount"": ""0mg"", ""daily_value"": ""0%""}, {""label"": ""Potas."", ""amount"": ""55mg"", ""daily_value"": ""1%""}]"
Bella Union,All Meals,Espresso Drinks,Cappuccino Soy Milk,Soy|Vegan|Vegetarian,20 oz12 oz16 oz,"Milk Sub Soy Aseptic Shelf Stable Ultra (ORGANIC SOY BASE (WATER, WHOLE ORGANIC SOYBEANS), DRIED CANE SYRUP, NATURAL FLAVORS, TRICALCIUM PHOSPHATE, SEA SALT, CARRAGEENAN, RIBOFLAVIN (B2), VITAMIN E (D-ALPHA-TOCOPHEROL ACETATE), VITAMIN D2, VITAMIN B6 (PYRIDOXINE HCL), VITAMIN A (PALMITATE), VITAMIN B12.), Espresso Shot (Cafe Coffee Espresso, Water Tap)","[{""label"": ""Total Fat"", ""amount"": ""11g"", ""daily_value"": ""18%""}, {""label"": ""Saturated Fat"", ""amount"": ""1g"", ""daily_value"": ""6%""}, {""label"": ""FatTrans"", ""amount"": ""0g"", ""daily_value"": """"}, {""label"": ""Cholesterol"", ""amount"": ""0mg"", ""daily_value"": ""0%""}, {""label"": ""Sodium"", ""amount"": ""350mg"", ""daily_value"": ""14%""}, {""label"": ""Total Carbohydrate"", ""amount"": ""27g"", ""daily_value"": ""9%""}, {""label"": ""Dietary Fiber"", ""amount"": ""2g"", ""daily_value"": ""8%""}, {""label"": ""Total Sugars"", ""amount"": ""18g"", ""daily_value"": ""72%""}, {""label"": ""Include NA Added Sugars"", ""amount"": """", ""daily_value"": ""%""}, {""label"": ""Protein"", ""amount"": ""23g"", ""daily_value"": """"}, {""label"": ""Calcium"", ""amount"": ""652mg"", ""daily_value"": ""70%""}, {""label"": ""Iron"", ""amount"": ""4.06mg"", ""daily_value"": ""25%""}, {""label"": ""Potas."", ""amount"": ""1100mg"", ""daily_value"": ""23%""}]"
Bella Union,All Meals,Espresso Drinks,Decaf Mocha Whole Milk,Egg|Milk|Soy|Tree Nut|Vegetarian,12 oz20 oz16 oz,"Cafe Milk Whole (MILK, VITAMIN D3), Decaffeinated Espresso Shot (zz Cafe Coffee Espresso Decaffeinated, Water Tap), Ghirardelli Dark Chocolate Syrup (SUGAR, WATER, FRUCTOSE, COCOA, NATURAL FLAVOR, UNSWEETENED CHOCOLATE, POTASSIUM SORBATE-A PRESERVATIVE, SALT, SOY LECITHIN-AN EMULSIFIER. MAY CONTAIN MILK AND TREE NUTS AND EGGS)","[{""label"": ""Total Fat"", ""amount"": ""10g"", ""daily_value"": ""16%""}, {""label"": ""Saturated Fat"", ""amount"": ""6g"", ""daily_value"": ""32%""}, {""label"": ""FatTrans"", ""amount"": ""0g"", ""daily_value"": """"}, {""label"": ""Cholesterol"", ""amount"": ""45mg"", ""daily_value"": ""15%""}, {""label"": ""Sodium"", ""amount"": ""170mg"", ""daily_value"": ""7%""}, {""label"": ""Total Carbohydrate"", ""amount"": ""29g"", ""daily_value"": ""10%""}, {""label"": ""Dietary Fiber"", ""amount"": ""< 1g"", ""daily_value"": ""4%""}, {""label"": ""Total Sugars"", ""amount"": ""27g"", ""daily_value"": ""109%""}, {""label"": ""Include 11 g Added Sugars"", ""amount"": """", ""daily_value"": ""23%""}, {""label"": ""Protein"", ""amount"": ""11g"", ""daily_value"": """"}, {""label"": ""Calcium"", ""amount"": ""384mg"", ""daily_value"": ""40%""}, {""label"": ""Iron"", ""amount"": ""0mg"", ""daily_value"": ""0%""}, {""label"": ""Potas."", ""amount"": ""35mg"", ""daily_value"": ""1%""}]"
J.B.'s Roast & Chops,All Meals,Seafood on the Grill,Chili Rubbed Mahi Mahi,Fish|Milk,6 oz Portion,"Mahi Mahi 8 oz Piece Bnls Sknls Raw IQF (MAHI MAHI), Juice Lemon Reconstituted 32 oz (FILTERED WATER, LEMON JUICE CONCENTRATE, SODIUM BISULFITE (PRESERVATIVE), SODIUM BENZOATE (PRESERVATIVE), AND LEMON OIL.), 75/25 Canola and Extra Virgin Olive Oil (CANOLA OIL, EXTRA VIRGIN OLIVE OIL), Mild Chili Powder (CHILI PEPPER AND OTHER SPICES, SALT AND GARLIC POWDER.), Salt and Pepper Blend (Salt Kosher Ground Coarse Box (SALT, YELLOW PRUSSIATE OF SODA), Spice Pepper Black Ground 5 lb (COARSE GRIND BLACK PEPPER.)), zz Red Wine Shallot Butter (Unsalted Solid Butter (PASTEURIZED CREAM, NATURAL FLAVORINGS), Burgundy Wine (BURGUNDY WINE, SALT, POTASSIUM SORBATE TO PRESERVE FRESHNESS, POTASSIUM METABISULFITE ADDED TO PROTECT COLOR. THIS PRODUCT IS GLUTEN FREE. 11 ALCOHOL BY VOLUME. 1.5 SALT ADDED), Peeled Shallots, Fresh Curly Parsley Herb)","[{""label"": ""Total Fat"", ""amount"": ""10g"", ""daily_value"": ""15%""}, {""label"": ""Saturated Fat"", ""amount"": ""1g"", ""daily_value"": ""4%""}, {""label"": ""FatTrans"", ""amount"": ""NA"", ""daily_value"": """"}, {""label"": ""Cholesterol"", ""amount"": ""105mg"", ""daily_value"": ""34%""}, {""label"": ""Sodium"", ""amount"": ""650mg"", ""daily_value"": ""27%""}, {""label"": ""Total Carbohydrate"", ""amount"": ""0g"", ""daily_value"": ""0%""}, {""label"": ""Dietary Fiber"", ""amount"": ""0g"", ""daily_value"": ""0%""}, {""label"": ""Total Sugars"", ""amount"": ""NA"", ""daily_value"": ""%""}, {""label"": ""Include NA Added Sugars"", ""amount"": """", ""daily_value"": ""%""}, {""label"": ""Protein"", ""amount"": ""25g"", ""daily_value"": """"}, {""label"": ""Calcium"", ""amount"": ""26mg"", ""daily_value"": ""2%""}, {""label"": ""Iron"", ""amount"": ""2.07mg"", ""daily_value"": ""10%""}, {""label"": ""Potas."", ""amount"": ""NA"", ""daily_value"": ""%""}]"
